department,death_year,age_in_years,total_deaths
01,2010,0,2
01,2010,2,1
01,2010,4,1
01,2010,7,1
01,2010,8,1
01,2010,10,1
01,2010,16,2
01,2010,18,3
01,2010,19,2
01,2010,20,1
01,2010,21,3
01,2010,22,1
01,2010,23,3
01,2010,24,7
01,2010,25,1
01,2010,27,1
01,2010,28,5
01,2010,30,5
01,2010,31,2
01,2010,32,6
01,2010,33,3
01,2010,34,3
01,2010,35,3
01,2010,36,6
01,2010,37,5
01,2010,38,3
01,2010,39,12
01,2010,40,5
01,2010,41,5
01,2010,42,8
01,2010,43,9
01,2010,44,14
01,2010,45,10
01,2010,46,14
01,2010,47,19
01,2010,48,22
01,2010,49,17
01,2010,50,16
01,2010,51,21
01,2010,52,23
01,2010,53,31
01,2010,54,29
01,2010,55,32
01,2010,56,29
01,2010,57,32
01,2010,58,24
01,2010,59,34
01,2010,60,43
01,2010,61,32
01,2010,62,46
01,2010,63,42
01,2010,64,37
01,2010,65,30
01,2010,66,46
01,2010,67,35
01,2010,68,33
01,2010,69,33
01,2010,70,36
01,2010,71,46
01,2010,72,56
01,2010,73,62
01,2010,74,55
01,2010,75,76
01,2010,76,75
01,2010,77,72
01,2010,78,84
01,2010,79,100
01,2010,80,131
01,2010,81,125
01,2010,82,114
01,2010,83,142
01,2010,84,159
01,2010,85,161
01,2010,86,141
01,2010,87,177
01,2010,88,196
01,2010,89,177
01,2010,90,149
01,2010,91,84
01,2010,92,85
01,2010,93,70
01,2010,94,47
01,2010,95,87
01,2010,96,84
01,2010,97,59
01,2010,98,45
01,2010,99,30
01,2010,100,23
01,2010,101,22
01,2010,102,13
01,2010,103,5
01,2010,104,2
01,2010,105,1
01,2010,106,1
01,2011,0,5
01,2011,1,1
01,2011,3,1
01,2011,4,2
01,2011,6,1
01,2011,7,1
01,2011,13,1
01,2011,14,1
01,2011,15,1
01,2011,16,1
01,2011,17,4
01,2011,18,8
01,2011,19,2
01,2011,20,2
01,2011,21,6
01,2011,22,6
01,2011,23,3
01,2011,24,3
01,2011,25,2
01,2011,26,2
01,2011,27,4
01,2011,28,5
01,2011,29,2
01,2011,30,8
01,2011,31,1
01,2011,32,2
01,2011,33,2
01,2011,34,1
01,2011,35,1
01,2011,36,2
01,2011,37,8
01,2011,38,3
01,2011,39,5
01,2011,40,2
01,2011,41,5
01,2011,42,18
01,2011,43,12
01,2011,44,14
01,2011,45,7
01,2011,46,9
01,2011,47,12
01,2011,48,12
01,2011,49,16
01,2011,50,20
01,2011,51,28
01,2011,52,28
01,2011,53,22
01,2011,54,24
01,2011,55,20
01,2011,56,22
01,2011,57,32
01,2011,58,40
01,2011,59,25
01,2011,60,31
01,2011,61,35
01,2011,62,31
01,2011,63,39
01,2011,64,40
01,2011,65,41
01,2011,66,36
01,2011,67,43
01,2011,68,33
01,2011,69,46
01,2011,70,32
01,2011,71,53
01,2011,72,45
01,2011,73,61
01,2011,74,68
01,2011,75,62
01,2011,76,65
01,2011,77,70
01,2011,78,79
01,2011,79,114
01,2011,80,91
01,2011,81,122
01,2011,82,102
01,2011,83,149
01,2011,84,147
01,2011,85,135
01,2011,86,159
01,2011,87,169
01,2011,88,156
01,2011,89,177
01,2011,90,172
01,2011,91,128
01,2011,92,85
01,2011,93,70
01,2011,94,58
01,2011,95,45
01,2011,96,72
01,2011,97,46
01,2011,98,48
01,2011,99,34
01,2011,100,26
01,2011,101,16
01,2011,102,13
01,2011,103,8
01,2011,104,5
01,2011,105,1
01,2011,106,1
01,2011,107,2
01,2012,0,2
01,2012,5,1
01,2012,9,1
01,2012,10,2
01,2012,13,1
01,2012,15,2
01,2012,17,2
01,2012,19,3
01,2012,20,2
01,2012,21,4
01,2012,23,1
01,2012,24,5
01,2012,26,3
01,2012,27,1
01,2012,28,2
01,2012,29,1
01,2012,30,3
01,2012,31,7
01,2012,32,2
01,2012,33,6
01,2012,34,4
01,2012,35,3
01,2012,36,1
01,2012,37,3
01,2012,38,6
01,2012,39,7
01,2012,40,3
01,2012,41,8
01,2012,42,9
01,2012,43,10
01,2012,44,13
01,2012,45,15
01,2012,46,16
01,2012,47,16
01,2012,48,11
01,2012,49,23
01,2012,50,20
01,2012,51,17
01,2012,52,20
01,2012,53,25
01,2012,54,24
01,2012,55,30
01,2012,56,22
01,2012,57,28
01,2012,58,21
01,2012,59,26
01,2012,60,34
01,2012,61,43
01,2012,62,44
01,2012,63,43
01,2012,64,39
01,2012,65,47
01,2012,66,42
01,2012,67,40
01,2012,68,42
01,2012,69,58
01,2012,70,41
01,2012,71,49
01,2012,72,47
01,2012,73,54
01,2012,74,55
01,2012,75,67
01,2012,76,93
01,2012,77,83
01,2012,78,90
01,2012,79,81
01,2012,80,104
01,2012,81,133
01,2012,82,138
01,2012,83,149
01,2012,84,152
01,2012,85,126
01,2012,86,171
01,2012,87,175
01,2012,88,171
01,2012,89,178
01,2012,90,173
01,2012,91,202
01,2012,92,135
01,2012,93,82
01,2012,94,66
01,2012,95,57
01,2012,96,39
01,2012,97,59
01,2012,98,57
01,2012,99,39
01,2012,100,29
01,2012,101,29
01,2012,102,13
01,2012,103,8
01,2012,104,5
01,2012,105,2
01,2012,106,1
01,2012,107,1
01,2012,109,1
01,2013,0,3
01,2013,4,1
01,2013,5,1
01,2013,6,1
01,2013,9,2
01,2013,11,1
01,2013,14,2
01,2013,15,1
01,2013,16,1
01,2013,17,1
01,2013,18,2
01,2013,19,1
01,2013,20,2
01,2013,21,5
01,2013,22,2
01,2013,23,3
01,2013,24,1
01,2013,25,3
01,2013,26,3
01,2013,27,5
01,2013,28,4
01,2013,29,3
01,2013,31,4
01,2013,32,5
01,2013,33,3
01,2013,34,3
01,2013,35,2
01,2013,36,5
01,2013,37,4
01,2013,38,5
01,2013,39,7
01,2013,40,6
01,2013,41,4
01,2013,42,16
01,2013,43,7
01,2013,44,14
01,2013,45,10
01,2013,46,12
01,2013,47,12
01,2013,48,12
01,2013,49,21
01,2013,50,11
01,2013,51,17
01,2013,52,23
01,2013,53,19
01,2013,54,31
01,2013,55,25
01,2013,56,32
01,2013,57,32
01,2013,58,26
01,2013,59,32
01,2013,60,45
01,2013,61,43
01,2013,62,34
01,2013,63,53
01,2013,64,59
01,2013,65,58
01,2013,66,53
01,2013,67,43
01,2013,68,46
01,2013,69,46
01,2013,70,51
01,2013,71,48
01,2013,72,49
01,2013,73,34
01,2013,74,48
01,2013,75,64
01,2013,76,79
01,2013,77,77
01,2013,78,78
01,2013,79,86
01,2013,80,104
01,2013,81,117
01,2013,82,135
01,2013,83,120
01,2013,84,131
01,2013,85,152
01,2013,86,155
01,2013,87,159
01,2013,88,163
01,2013,89,180
01,2013,90,188
01,2013,91,173
01,2013,92,173
01,2013,93,136
01,2013,94,73
01,2013,95,77
01,2013,96,38
01,2013,97,33
01,2013,98,41
01,2013,99,39
01,2013,100,29
01,2013,101,23
01,2013,102,13
01,2013,103,10
01,2013,104,5
01,2013,105,1
01,2014,0,3
01,2014,1,1
01,2014,6,1
01,2014,8,1
01,2014,9,2
01,2014,11,1
01,2014,15,1
01,2014,17,1
01,2014,18,1
01,2014,19,4
01,2014,20,2
01,2014,21,3
01,2014,23,5
01,2014,24,2
01,2014,25,3
01,2014,27,3
01,2014,28,1
01,2014,29,3
01,2014,30,1
01,2014,31,4
01,2014,32,4
01,2014,33,5
01,2014,34,4
01,2014,35,4
01,2014,36,3
01,2014,37,6
01,2014,38,5
01,2014,39,5
01,2014,40,6
01,2014,41,5
01,2014,42,7
01,2014,43,8
01,2014,44,13
01,2014,45,11
01,2014,46,9
01,2014,47,9
01,2014,48,22
01,2014,49,11
01,2014,50,13
01,2014,51,15
01,2014,52,25
01,2014,53,19
01,2014,54,22
01,2014,55,35
01,2014,56,24
01,2014,57,34
01,2014,58,37
01,2014,59,22
01,2014,60,38
01,2014,61,28
01,2014,62,46
01,2014,63,43
01,2014,64,43
01,2014,65,49
01,2014,66,55
01,2014,67,47
01,2014,68,44
01,2014,69,55
01,2014,70,48
01,2014,71,56
01,2014,72,64
01,2014,73,49
01,2014,74,56
01,2014,75,64
01,2014,76,58
01,2014,77,75
01,2014,78,72
01,2014,79,85
01,2014,80,104
01,2014,81,100
01,2014,82,126
01,2014,83,140
01,2014,84,148
01,2014,85,154
01,2014,86,181
01,2014,87,168
01,2014,88,145
01,2014,89,164
01,2014,90,158
01,2014,91,162
01,2014,92,171
01,2014,93,138
01,2014,94,114
01,2014,95,64
01,2014,96,52
01,2014,97,29
01,2014,98,31
01,2014,99,37
01,2014,100,33
01,2014,101,16
01,2014,102,11
01,2014,103,9
01,2014,104,5
01,2014,105,2
01,2014,106,2
01,2014,108,1
01,2015,0,1
01,2015,2,2
01,2015,3,1
01,2015,9,1
01,2015,11,1
01,2015,14,1
01,2015,16,2
01,2015,17,3
01,2015,18,3
01,2015,19,1
01,2015,20,1
01,2015,21,2
01,2015,22,9
01,2015,23,1
01,2015,24,3
01,2015,25,2
01,2015,26,2
01,2015,27,1
01,2015,28,2
01,2015,29,1
01,2015,31,3
01,2015,32,2
01,2015,33,6
01,2015,34,4
01,2015,35,4
01,2015,36,2
01,2015,37,4
01,2015,38,2
01,2015,39,5
01,2015,40,6
01,2015,41,6
01,2015,42,4
01,2015,43,5
01,2015,44,8
01,2015,45,13
01,2015,46,10
01,2015,47,10
01,2015,48,10
01,2015,49,14
01,2015,50,23
01,2015,51,20
01,2015,52,20
01,2015,53,19
01,2015,54,21
01,2015,55,27
01,2015,56,21
01,2015,57,37
01,2015,58,30
01,2015,59,31
01,2015,60,38
01,2015,61,31
01,2015,62,34
01,2015,63,40
01,2015,64,44
01,2015,65,49
01,2015,66,47
01,2015,67,53
01,2015,68,57
01,2015,69,59
01,2015,70,75
01,2015,71,42
01,2015,72,47
01,2015,73,43
01,2015,74,56
01,2015,75,68
01,2015,76,62
