year,department,sex,age_group,value
2010,01,All,0-4,39819
2010,01,All,5-9,41737
2010,01,All,10-14,40935
2010,01,All,15-19,36558
2010,01,All,20-24,30833
2010,01,All,25-29,34971
2010,01,All,30-34,36539
2010,01,All,35-39,45452
2010,01,All,40-44,46185
2010,01,All,45-49,44212
2010,01,All,50-54,39940
2010,01,All,55-59,38015
2010,01,All,60-64,34253
2010,01,All,65-69,23400
2010,01,All,70-74,19939
2010,01,All,75-79,18026
2010,01,All,80-84,13923
2010,01,All,85-89,9251
2010,01,All,90-94,2260
2010,01,All,95+,1093
2010,01,All,Total,597341
2010,02,All,0-4,34889
2010,02,All,5-9,35954
2010,02,All,10-14,35523
2010,02,All,15-19,33685
2010,02,All,20-24,30298
2010,02,All,25-29,32047
2010,02,All,30-34,30292
2010,02,All,35-39,36632
2010,02,All,40-44,36747
2010,02,All,45-49,38011
2010,02,All,50-54,37690
2010,02,All,55-59,37752
2010,02,All,60-64,33290
2010,02,All,65-69,20081
2010,02,All,70-74,20503
2010,02,All,75-79,19941
2010,02,All,80-84,15151
2010,02,All,85-89,9273
2010,02,All,90-94,1852
2010,02,All,95+,897
2010,02,All,Total,540508
2010,03,All,0-4,16847
2010,03,All,5-9,18459
2010,03,All,10-14,18534
2010,03,All,15-19,18231
2010,03,All,20-24,15578
2010,03,All,25-29,16419
2010,03,All,30-34,16790
2010,03,All,35-39,21522
2010,03,All,40-44,22846
2010,03,All,45-49,23644
2010,03,All,50-54,24329
2010,03,All,55-59,25774
2010,03,All,60-64,24857
2010,03,All,65-69,17388
2010,03,All,70-74,17478
2010,03,All,75-79,17474
2010,03,All,80-84,13875
2010,03,All,85-89,9427
2010,03,All,90-94,2258
2010,03,All,95+,1178
2010,03,All,Total,342908
2010,04,All,0-4,8197
2010,04,All,5-9,9308
2010,04,All,10-14,9469
2010,04,All,15-19,9180
2010,04,All,20-24,7162
2010,04,All,25-29,7391
2010,04,All,30-34,7763
2010,04,All,35-39,10124
2010,04,All,40-44,11127
2010,04,All,45-49,11875
2010,04,All,50-54,11406
2010,04,All,55-59,11260
2010,04,All,60-64,11583
2010,04,All,65-69,8885
2010,04,All,70-74,7932
2010,04,All,75-79,6975
2010,04,All,80-84,5431
2010,04,All,85-89,3580
2010,04,All,90-94,1042
2010,04,All,95+,459
2010,04,All,Total,160149
2010,05,All,0-4,7264
2010,05,All,5-9,8140
2010,05,All,10-14,8500
2010,05,All,15-19,7562
2010,05,All,20-24,5899
2010,05,All,25-29,7022
2010,05,All,30-34,7090
2010,05,All,35-39,9045
2010,05,All,40-44,9941
2010,05,All,45-49,10065
2010,05,All,50-54,9922
2010,05,All,55-59,9658
2010,05,All,60-64,9285
2010,05,All,65-69,6972
2010,05,All,70-74,6181
2010,05,All,75-79,5385
2010,05,All,80-84,4397
2010,05,All,85-89,3321
2010,05,All,90-94,894
2010,05,All,95+,428
2010,05,All,Total,136971
2010,06,All,0-4,56863
2010,06,All,5-9,56388
2010,06,All,10-14,59798
2010,06,All,15-19,62423
2010,06,All,20-24,58578
2010,06,All,25-29,59253
2010,06,All,30-34,61113
2010,06,All,35-39,71794
2010,06,All,40-44,75577
2010,06,All,45-49,76151
2010,06,All,50-54,68910
2010,06,All,55-59,67923
2010,06,All,60-64,69499
2010,06,All,65-69,56300
2010,06,All,70-74,50635
2010,06,All,75-79,48097
2010,06,All,80-84,39737
2010,06,All,85-89,27441
2010,06,All,90-94,8016
2010,06,All,95+,4233
2010,06,All,Total,1078729
2010,07,All,0-4,17497
2010,07,All,5-9,19238
2010,07,All,10-14,18988
2010,07,All,15-19,16962
2010,07,All,20-24,14012
2010,07,All,25-29,15289
2010,07,All,30-34,16400
2010,07,All,35-39,20978
2010,07,All,40-44,22235
2010,07,All,45-49,22451
2010,07,All,50-54,21695
2010,07,All,55-59,22326
2010,07,All,60-64,22290
2010,07,All,65-69,15592
2010,07,All,70-74,14400
2010,07,All,75-79,13380
2010,07,All,80-84,11012
2010,07,All,85-89,7461
2010,07,All,90-94,1853
2010,07,All,95+,1031
2010,07,All,Total,315090
2010,08,All,0-4,17525
2010,08,All,5-9,18264
2010,08,All,10-14,18355
2010,08,All,15-19,16812
2010,08,All,20-24,15578
2010,08,All,25-29,16060
2010,08,All,30-34,16107
2010,08,All,35-39,19213
2010,08,All,40-44,19949
2010,08,All,45-49,20442
2010,08,All,50-54,20025
2010,08,All,55-59,19957
2010,08,All,60-64,17652
2010,08,All,65-69,10745
2010,08,All,70-74,11479
2010,08,All,75-79,10886
2010,08,All,80-84,8012
2010,08,All,85-89,4771
2010,08,All,90-94,908
2010,08,All,95+,510
2010,08,All,Total,283250
2010,09,All,0-4,8061
2010,09,All,5-9,8425
2010,09,All,10-14,8570
2010,09,All,15-19,7818
2010,09,All,20-24,6585
2010,09,All,25-29,7288
2010,09,All,30-34,7968
2010,09,All,35-39,9818
2010,09,All,40-44,10334
2010,09,All,45-49,11111
2010,09,All,50-54,10881
2010,09,All,55-59,11047
2010,09,All,60-64,10658
2010,09,All,65-69,7551
2010,09,All,70-74,7271
2010,09,All,75-79,7462
2010,09,All,80-84,5875
2010,09,All,85-89,4015
2010,09,All,90-94,861
2010,09,All,95+,439
2010,09,All,Total,152038
2010,10,All,0-4,18643
2010,10,All,5-9,18486
2010,10,All,10-14,18417
2010,10,All,15-19,18783
